"EnsemblId" "GeneName" "distance_to_hsp"
"2330" "ENSG00000100505" "TRIM9" 0.398545572885333
"7733" "ENSG00000138757" "G3BP2" 0.399034131680993
"1232" "ENSG00000073584" "SMARCE1" 0.401577472279929
"2992" "ENSG00000104885" "DOT1L" 0.40351227596774
"2010" "ENSG00000094880" "CDC23" 0.403997592056668
"10080" "ENSG00000157193" "LRP8" 0.404433762066812
"9849" "ENSG00000155096" "AZIN1" 0.405443868700654
"5768" "ENSG00000125952" "MAX" 0.406828493415302
"3178" "ENSG00000105705" "SUGP1" 0.407203161434811
"5825" "ENSG00000126457" "PRMT1" 0.409834953723645
"13614" "ENSG00000173889" "PHC3" 0.41093340399788
"11017" "ENSG00000163462" "TRIM46" 0.414787999271671
"6360" "ENSG00000130826" "DKC1" 0.415303664057019
"2650" "ENSG00000102230" "PCYT1B" 0.41753002354875
"13893" "ENSG00000175387" "SMAD2" 0.418057553847864
"4179" "ENSG00000113387" "SUB1" 0.418582319694499
"9639" "ENSG00000153201" "RANBP2" 0.419210019417943
"9147" "ENSG00000148835" "TAF5" 0.421852091313227
"2073" "ENSG00000097007" "ABL1" 0.42485314776703
"16945" "ENSG00000189221" "MAOA" 0.425463965265465
"9335" "ENSG00000150753" "CCT5" 0.427926483399535
"8723" "ENSG00000145604" "SKP2" 0.428913994314053
"9428" "ENSG00000151553" "FAM160B1" 0.429463461255077
"1579" "ENSG00000082701" "GSK3B" 0.429728780190513
"5949" "ENSG00000127663" "KDM4B" 0.430294928146248
"3525" "ENSG00000108406" "DHX40" 0.431723171649207
"10586" "ENSG00000161057" "PSMC2" 0.432670833414513
"1824" "ENSG00000089157" "RPLP0" 0.434468373162224
"12730" "ENSG00000169967" "MAP3K2" 0.434592428375061
"15819" "ENSG00000184708" "EIF4ENIF1" 0.43640170747868
"6643" "ENSG00000132680" "KIAA0907" 0.436840938061627
"3603" "ENSG00000108848" "LUC7L3" 0.437448845021419
"11807" "ENSG00000166233" "ARIH1" 0.440467793455837
"973" "ENSG00000066382" "MPPED2" 0.441101798029652
"17903" "ENSG00000198791" "CNOT7" 0.446455219801196
"14214" "ENSG00000176986" "SEC24C" 0.447212629993832
"8160" "ENSG00000141646" "SMAD4" 0.44765875116595
"13994" "ENSG00000175931" "UBE2O" 0.448373134728138
"10242" "ENSG00000158545" "ZC3H18" 0.448971439285125
"3755" "ENSG00000110171" "TRIM3" 0.450783471621964
"10119" "ENSG00000157540" "DYRK1A" 0.451339664991153
"8120" "ENSG00000141456" "PELP1" 0.451500289135513
"3489" "ENSG00000108061" "SHOC2" 0.452662302855327
"4266" "ENSG00000114209" "PDCD10" 0.452890071479752
"2972" "ENSG00000104824" "HNRNPL" 0.452969510036412
"15502" "ENSG00000183431" "SF3A3" 0.457076796587836
"10872" "ENSG00000162923" "WDR26" 0.457900785496475
"8974" "ENSG00000147421" "HMBOX1" 0.458868101452207
"234" "ENSG00000009335" "UBE3C" 0.459808657545336
"5270" "ENSG00000122482" "ZNF644" 0.460727945870506
"10390" "ENSG00000159720" "ATP6V0D1" 0.463056791728832
"2356" "ENSG00000100603" "SNW1" 0.463548065032468
"7125" "ENSG00000135624" "CCT7" 0.464847759229751
"4089" "ENSG00000112640" "PPP2R5D" 0.466198331766046
"10458" "ENSG00000160216" "AGPAT3" 0.466880233365383
"4320" "ENSG00000114742" "WDR48" 0.467260885765027
"2464" "ENSG00000101191" "DIDO1" 0.470135565088649
"5812" "ENSG00000126261" "UBA2" 0.471259581132532
"1056" "ENSG00000068831" "RASGRP2" 0.471389130056426
"14294" "ENSG00000177380" "PPFIA3" 0.472250736703194
"7639" "ENSG00000138207" "RBP4" 0.47260418196571
"7326" "ENSG00000136709" "WDR33" 0.474144373669586
"919" "ENSG00000065243" "PKN2" 0.476188414179212
"13705" "ENSG00000174437" "ATP2A2" 0.477401277394652
"14046" "ENSG00000176208" "ATAD5" 0.478403722637946
"3468" "ENSG00000107882" "SUFU" 0.478480933690437
"13675" "ENSG00000174243" "DDX23" 0.483207735705554
"9502" "ENSG00000152127" "MGAT5" 0.483249724321763
"1722" "ENSG00000087087" "SRRT" 0.484072037166707
"7409" "ENSG00000137075" "RNF38" 0.484494198300068
"7892" "ENSG00000139842" "CUL4A" 0.486062720695246
"1508" "ENSG00000080815" "PSEN1" 0.487946905580264
"2069" "ENSG00000096746" "HNRNPH3" 0.489145849273773
"7295" "ENSG00000136504" "KAT7" 0.491806584402555
"13707" "ENSG00000174444" "RPL4" 0.492575992246025
"1191" "ENSG00000072364" "AFF4" 0.492699064685663
"3483" "ENSG00000108001" "EBF3" 0.493587321941086
"1445" "ENSG00000078900" "TP73" 0.494264774856488
"17353" "ENSG00000197122" "SRC" 0.498095938746226
"10711" "ENSG00000162337" "LRP5" 0.500444668799631
"1229" "ENSG00000073464" "CLCN4" 0.503037230988237
"2399" "ENSG00000100883" "SRP54" 0.503408253574383
"937" "ENSG00000065559" "MAP2K4" 0.505051720634795
"500" "ENSG00000033050" "ABCF2" 0.505555112793705
"12371" "ENSG00000168439" "STIP1" 0.507707120016205
"8726" "ENSG00000145632" "PLK2" 0.507906744040121
"1875" "ENSG00000090372" "STRN4" 0.508771134939118
"5631" "ENSG00000125304" "TM9SF2" 0.509467581204375
"6517" "ENSG00000131876" "SNRPA1" 0.513752447463196
"16229" "ENSG00000186260" "MKL2" 0.517249224687304
"17867" "ENSG00000198720" "ANKRD13B" 0.517815443053622
"8218" "ENSG00000142208" "AKT1" 0.522159206843899
"11237" "ENSG00000164076" "CAMKV" 0.523255597880114
"1153" "ENSG00000071243" "ING3" 0.524035946084882
"3727" "ENSG00000109971" "HSPA8" 0.524133015809168
"4530" "ENSG00000116106" "EPHA4" 0.52498867091848
"17371" "ENSG00000197170" "PSMD12" 0.525278892791336
"5573" "ENSG00000124702" "KLHDC3" 0.526831175919062
"9970" "ENSG00000156261" "CCT8" 0.527811465226518
"739" "ENSG00000054965" "FAM168A" 0.528247044631062
"10016" "ENSG00000156642" "NPTN" 0.529694467023769
"2004" "ENSG00000094631" "HDAC6" 0.532905860245224
"7712" "ENSG00000138668" "HNRNPD" 0.533867592368821
"1371" "ENSG00000077147" "TM9SF3" 0.535435294420036
"533" "ENSG00000036549" "ZZZ3" 0.538025231354608
"2281" "ENSG00000100353" "EIF3D" 0.538610419689957
"5596" "ENSG00000124813" "RUNX2" 0.541589429644394
"1135" "ENSG00000070808" "CAMK2A" 0.541782268531885
"3447" "ENSG00000107758" "PPP3CB" 0.542832116976471
"8239" "ENSG00000142459" "EVI5L" 0.547388473451389
"4582" "ENSG00000116560" "SFPQ" 0.547960388341261
"2447" "ENSG00000101138" "CSTF1" 0.549455349850201
"11723" "ENSG00000165916" "PSMC3" 0.55165294753495
"6740" "ENSG00000133216" "EPHB2" 0.551709782349537
"7547" "ENSG00000137815" "RTF1" 0.552344914610764
"4303" "ENSG00000114554" "PLXNA1" 0.553790583535559
"12666" "ENSG00000169710" "FASN" 0.553845694923993
"1593" "ENSG00000083307" "GRHL2" 0.558007485463345
"615" "ENSG00000047056" "WDR37" 0.558697517851581
"9619" "ENSG00000153046" "CDYL" 0.558920111743422
"6606" "ENSG00000132485" "ZRANB2" 0.559584328655323
"4497" "ENSG00000115875" "SRSF7" 0.559613720207246
"2737" "ENSG00000102974" "CTCF" 0.560674667137703
"5552" "ENSG00000124571" "XPO5" 0.560916066858799
"4813" "ENSG00000118454" "ANKRD13C" 0.561477131825715
"9177" "ENSG00000149136" "SSRP1" 0.562401019086076
"11089" "ENSG00000163634" "THOC7" 0.56365654347411
"2649" "ENSG00000102226" "USP11" 0.564377504405746
"9097" "ENSG00000148400" "NOTCH1" 0.564605737218224
"7873" "ENSG00000139687" "RB1" 0.565775573518324
"3638" "ENSG00000109111" "SUPT6H" 0.568438898640359
"1577" "ENSG00000082641" "NFE2L1" 0.568593905195867
"1938" "ENSG00000091622" "PITPNM3" 0.570610761881905
"8994" "ENSG00000147548" "WHSC1L1" 0.5706504758578
"15451" "ENSG00000183207" "RUVBL2" 0.572074614335869
"6490" "ENSG00000131725" "WDR44" 0.574334723374648
"7283" "ENSG00000136448" "NMT1" 0.57436374960514
"1025" "ENSG00000067842" "ATP2B3" 0.574387180016032
"9806" "ENSG00000154727" "GABPA" 0.574518293259755
"4504" "ENSG00000115935" "WIPF1" 0.574842599271045
"5840" "ENSG00000126583" "PRKCG" 0.577251478540061
"13172" "ENSG00000171843" "MLLT3" 0.577288729757286
"8221" "ENSG00000142230" "SAE1" 0.577651779674017
"3737" "ENSG00000110048" "OSBP" 0.579891622797392
"9434" "ENSG00000151612" "ZNF827" 0.581814739734488
"12392" "ENSG00000168522" "FNTA" 0.582517193067668
"2045" "ENSG00000095787" "WAC" 0.582593502541954
"17090" "ENSG00000196323" "ZBTB44" 0.582602337883889
"12762" "ENSG00000170144" "HNRNPA3" 0.582784302198944
"8385" "ENSG00000143376" "SNX27" 0.582785104158315
"14099" "ENSG00000176444" "CLK2" 0.583132182184495
"13446" "ENSG00000173039" "RELA" 0.585076298570317
"1724" "ENSG00000087095" "NLK" 0.585487545991268
"3339" "ENSG00000106615" "RHEB" 0.586458623691575
"5253" "ENSG00000122299" "ZC3H7A" 0.589641576808582
"10349" "ENSG00000159352" "PSMD4" 0.590053477167015
"10813" "ENSG00000162706" "CADM3" 0.590734952535205
"6761" "ENSG00000133422" "MORC2" 0.591494309282525
"17942" "ENSG00000198853" "RUSC2" 0.592850379186578
"11875" "ENSG00000166477" "LEO1" 0.594165302672994
"7256" "ENSG00000136261" "BZW2" 0.594357367892683
"1736" "ENSG00000087258" "GNAO1" 0.594386403491694
"5276" "ENSG00000122515" "ZMIZ2" 0.594469250174239
"8709" "ENSG00000145431" "PDGFC" 0.595040278081404
"17228" "ENSG00000196700" "ZNF512B" 0.597564851800487
"12275" "ENSG00000168036" "CTNNB1" 0.598466937676704
"1041" "ENSG00000068366" "ACSL4" 0.599024506643421
"2360" "ENSG00000100614" "PPM1A" 0.602760599253515
"293" "ENSG00000011304" "PTBP1" 0.603485221000833
"2789" "ENSG00000103249" "CLCN7" 0.605231191516148
"1467" "ENSG00000079432" "CIC" 0.60595707932075
"1478" "ENSG00000079805" "DNM2" 0.606637836687805
"12509" "ENSG00000169032" "MAP2K1" 0.610518078040964
"4359" "ENSG00000115053" "NCL" 0.610574319781309
"20216" "ENSG00000205339" "IPO7" 0.611623530539669
"9436" "ENSG00000151617" "EDNRA" 0.612067303814577
"10082" "ENSG00000157212" "PAXIP1" 0.612490805022913
"10719" "ENSG00000162374" "ELAVL4" 0.612603715585047
"11616" "ENSG00000165494" "PCF11" 0.613845279725726
"2370" "ENSG00000100664" "EIF5" 0.615734976499983
"3358" "ENSG00000106723" "SPIN1" 0.616539341733418
"2263" "ENSG00000100316" "RPL3" 0.618721383399864
