"genes" "slopes" "intercept" "p_val_slope" "p_val_intercept" "number_of_species"
"28" "dN.dS_ENSG00000126803" 4.33070694523449e-06 -0.00196931730819712 1.44608436934373e-05 0.561055408534061 43
"29" "dN.dS_ENSG00000128590" 4.93973905057147e-05 0.0701056856708514 8.49485069863905e-05 0.118356107276597 68
"30" "dN.dS_ENSG00000132002" 5.18574734033598e-06 0.0403114878122982 0.0583835748320068 0.00015086912137701 61
"31" "dN.dS_ENSG00000132141" 3.05039126659471e-05 0.177926110323962 2.99789857555651e-05 5.04803991207475e-09 65
"32" "dN.dS_ENSG00000132622" 4.73575913666894e-06 0.0268931265253263 0.0240154543557975 0.00186810522571039 55
"33" "dN.dS_ENSG00000135624" 8.51502545471526e-06 0.0251389662569872 0.0156143826810109 0.0728975200600799 49
"34" "dN.dS_ENSG00000135924" 1.33123775242987e-05 0.1358605411011 0.0212729978503242 3.68982561035299e-09 56
"35" "dN.dS_ENSG00000136770" 7.42379489058876e-06 0.229948206278531 0.0517583849385019 3.86268935779711e-23 63
"36" "dN.dS_ENSG00000137094" 8.96898832449577e-06 0.0227957692723834 0.000820188924346443 0.0176660380840278 58
"37" "dN.dS_ENSG00000138246" 1.07006910495064e-05 0.0212011187396066 1.34481793938918e-05 0.0137561768505588 62
"38" "dN.dS_ENSG00000140403" 2.61409734790415e-05 0.0767186058551055 0.000827088365169925 0.0116419350574396 61
"39" "dN.dS_ENSG00000147570" 9.57079927403929e-06 0.182461529229278 0.0115710915926977 9.42473525384378e-20 63
"40" "dN.dS_ENSG00000148719" 1.09009957874352e-05 0.0620950615362469 8.79744523084997e-05 2.45602499521626e-08 67
"41" "dN.dS_ENSG00000149428" 1.88865946751434e-05 0.0600468198122799 1.03237521788376e-06 3.33539162370875e-05 68
"42" "dN.dS_ENSG00000150753" 2.83720506599938e-06 0.0378736640247493 0.634141255122058 0.0411363117658451 43
"43" "dN.dS_ENSG00000151835" 6.93544067977499e-06 0.0543322356463216 9.44400927647168e-07 3.6665770512208e-16 64
"44" "dN.dS_ENSG00000152137" 8.39778179524508e-07 0.0557641367550601 0.629317295122137 1.98084439068539e-13 47
"45" "dN.dS_ENSG00000155087" 1.83845121947919e-05 0.0154191088196394 9.69676671275373e-07 0.270430173039357 57
"46" "dN.dS_ENSG00000155304" 1.63104806990367e-05 0.0722434828548572 0.00280732188110472 0.000670273517493263 64
"47" "dN.dS_ENSG00000156261" 1.18366527783063e-05 0.0324670028825325 0.00178610219362109 0.0240122346028872 58
"48" "dN.dS_ENSG00000162129" 2.26275302450732e-05 0.103089762133499 0.000110278324889048 5.82854480076856e-06 66
"49" "dN.dS_ENSG00000162616" 5.02910358304276e-06 0.0461916798531588 0.0119399200706338 2.43282502048986e-10 44
"50" "dN.dS_ENSG00000163468" 1.11650962094381e-05 0.0260924283058234 0.0190093499412529 0.149695132294437 57
"51" "dN.dS_ENSG00000163793" 8.07732172450139e-05 0.291727043468579 2.89078085926636e-08 2.64459285053465e-07 60
"52" "dN.dS_ENSG00000164031" -1.6352176546638e-06 0.0778026045524332 0.69143485953162 7.19076846679681e-07 56
"53" "dN.dS_ENSG00000164070" 3.18331802577669e-05 0.0387074519209033 6.6802582979562e-07 0.0926116007504608 61
"54" "dN.dS_ENSG00000165868" 1.69138760178162e-05 0.0218217585508592 0.000200396229145196 0.189461826920332 68
"55" "dN.dS_ENSG00000166226" 1.41074505973776e-05 0.0118999761541411 0.0066043913768251 0.463435164729071 47
"56" "dN.dS_ENSG00000166598" 2.64028645677448e-05 -0.0241872002978283 2.77014551883919e-06 0.192771174640632 54
"57" "dN.dS_ENSG00000168259" 2.44858097515871e-05 -0.00471425796930102 1.35225476614647e-05 0.81255047586448 57
"58" "dN.dS_ENSG00000168724" 4.21659055216767e-05 0.0929346496370523 1.39521859207160e-09 0.000121222776374384 57
"59" "dN.dS_ENSG00000169271" 1.82428614675891e-05 0.151918148701152 0.00326668510048195 1.66794523875482e-09 64
"60" "dN.dS_ENSG00000170464" 1.99221461590898e-05 0.0836879073492448 0.000110042324860045 2.5820366257499e-05 65
"61" "dN.dS_ENSG00000170606" 2.25205582317445e-05 0.0114351389407337 1.03711321491139e-06 0.484716487253172 68
"62" "dN.dS_ENSG00000170946" 1.6042948091978e-05 0.217543344181196 0.0752638865763718 2.32282750623718e-10 55
"63" "dN.dS_ENSG00000172404" 1.98590337197128e-05 0.298188515995922 2.33179684977269e-05 7.70238223502867e-20 40
"64" "dN.dS_ENSG00000173641" 3.7418794378277e-05 0.139816348796023 1.16001031966613e-06 1.19377626299245e-05 42
"65" "dN.dS_ENSG00000177692" 1.97856695245725e-05 0.192549685886682 2.15555543991142e-05 5.27062261864961e-17 56
"66" "dN.dS_ENSG00000178401" 2.67199622752813e-05 0.199591462324998 8.3410899166692e-06 5.60317909970923e-13 63
"67" "dN.dS_ENSG00000178950" 2.32649038534016e-06 0.107189481543215 0.459666664447036 2.52168222124078e-10 45
"68" "dN.dS_ENSG00000179941" 6.67375542367144e-05 0.308710728279649 4.6955286261723e-11 1.42209730178293e-13 67
"69" "dN.dS_ENSG00000181004" -9.26553323508776e-06 0.410010819656225 0.00139443111034272 4.6662858410866e-37 49
"70" "dN.dS_ENSG00000187522" 4.23091268478994e-05 0.0382102114366142 6.96949644602148e-08 0.16245939722696 64
"71" "dN.dS_ENSG00000187726" 1.4436952307259e-05 0.0744523835368123 0.000118779958300858 4.32067685042269e-07 65
"72" "dN.dS_ENSG00000204390" 9.91701780358728e-06 0.0257088048343779 1.77535451902012e-05 0.00381106737475143 56
"73" "dN.dS_ENSG00000213551" 1.48018771666325e-05 0.124766030111104 0.0141980689129965 4.23197821710672e-07 63
