"genes" "slopes" "intercept" "p_val_slope" "p_val_intercept" "number_of_species" "R_sq" "R_sq_adj" "residual_std_err"
"51" "dN.dS_ENSG00000151612" 0.0775497079954978 0.236890797394135 0.585056610806222 1.10667446212583e-05 40 0.00791786582759515 -0.0181895587558893 0.197425559862593
"52" "dN.dS_ENSG00000095787" 0.220829965203966 0.211180666988738 0.0616734109694109 2.30704100465783e-06 39 0.0912146992477464 0.0666529343625504 0.155014397604154
"53" "dN.dS_ENSG00000176444" 0.141364111676832 0.233601283359725 0.184399894981221 5.43484119530393e-08 41 0.0447239969861428 0.0202297404986082 0.149480171737252
"54" "dN.dS_ENSG00000122299" -0.322586813207489 0.339781653323601 0.0155436835320042 9.18415294763981e-10 40 0.144491910107818 0.121978539321182 0.17504294967148
"55" "dN.dS_ENSG00000162706" 0.28441227275457 0.19922242616036 0.00610182355433461 3.16329532824459e-07 41 0.177384648227458 0.156291946899957 0.135855541068997
"56" "dN.dS_ENSG00000166477" 0.353952211821175 0.177157070765116 0.00197335575235909 1.36720956831465e-05 39 0.2306449156675 0.209851535009865 0.14711491267956
"57" "dN.dS_ENSG00000079805" 0.317043599411805 0.175066134057152 0.0293645528379698 0.000544945802483484 39 0.121903709976168 0.0981713778133619 0.189796583409414
"58" "dN.dS_ENSG00000151617" 0.439413532076361 0.159977723114186 6.99993455166614e-06 1.2753218750224e-06 41 0.407947272820571 0.392766433662124 0.117385691782581
"59" "dN.dS_ENSG00000165494" 0.165566320620612 0.236877713744823 0.2994641479733 3.44640036690816e-05 40 0.0290609210577539 0.0028193243295852 0.208737674997897
"60" "dN.dS_ENSG00000161405" 0.214981806193104 0.22683990219135 0.00408562514198138 5.13818966788921e-12 41 0.192730448624308 0.172031229358265 0.0975661994013725
"61" "dN.dS_ENSG00000008441" 0.725766879364625 0.0543870068117565 3.48538770786204e-05 0.295174078437751 41 0.359020990635093 0.342585631420609 0.215103641459554
"62" "dN.dS_ENSG00000198963" 0.547433573122176 0.123009143928658 9.05398418795086e-06 0.0011632452988318 39 0.416890381328724 0.401130661905176 0.141082664142248
"63" "dN.dS_ENSG00000136848" 0.508783595023487 0.13021411807012 5.86269322963551e-05 0.00117666709599385 41 0.342403969037528 0.325542532346183 0.155234760499954
"64" "dN.dS_ENSG00000100852" 0.360723998251195 0.17982338821318 0.000437959936491316 9.45962971007423e-07 40 0.280735751698139 0.26180774516388 0.126023272354164
"65" "dN.dS_ENSG00000116809" 0.176372085936818 0.22562389912578 0.108561612639183 1.61707702162628e-07 40 0.0663524792365824 0.041782807637545 0.144453403361098
"66" "dN.dS_ENSG00000165699" 0.350356782218264 0.183262718133479 0.000324845604616145 2.25157046887565e-07 42 0.278905758388418 0.260878402348129 0.125105201291314
"67" "dN.dS_ENSG00000113657" 0.13143671957632 0.241812245745235 0.170643896386616 2.51301762403126e-09 40 0.0488214689896831 0.0237904550157273 0.130944933856495
"68" "dN.dS_ENSG00000127483" 0.159627193045082 0.22943925243417 0.142617277712954 1.24791850421075e-07 40 0.0556996414754551 0.0308496320405985 0.148669588001423
"69" "dN.dS_ENSG00000163873" 0.344841200289485 0.172684915138791 0.00759108139725998 0.00012763020872117 40 0.173048725782696 0.151286850145399 0.169122893159611
"70" "dN.dS_ENSG00000109670" 0.060729132478052 0.261741834120359 0.490354430663529 2.85863306508729e-11 42 0.0119709187181084 -0.0127298083139389 0.12252247575649
"71" "dN.dS_ENSG00000131323" 0.50497337762739 0.138878769768626 2.50798355622614e-06 4.54617363341057e-05 41 0.437401320806885 0.422975713648087 0.126996383079859
"72" "dN.dS_ENSG00000136875" 0.272284138049158 0.209731771078211 0.000784091915682693 2.36920163695033e-10 41 0.253851863945098 0.23471986045651 0.105315262092443
"73" "dN.dS_ENSG00000136875.1" 0.272284138049158 0.209731771078211 0.000784091915682693 2.36920163695033e-10 41 0.253851863945098 0.23471986045651 0.105315262092443
"74" "dN.dS_ENSG00000152413" 0.431517065304031 0.160624616440916 1.99282708052605e-05 2.60300370993391e-06 42 0.368969962921775 0.35319421199482 0.123678535455329
"75" "dN.dS_ENSG00000118564" 0.264966987351974 0.204656788047547 0.0107427645013242 2.10803774751841e-07 41 0.155472304719417 0.133817748430171 0.136094412832417
"76" "dN.dS_ENSG00000179134" 0.301230121607293 0.197903104380453 0.0013602241806798 3.82295547314688e-08 40 0.239261007897285 0.219241560736687 0.120210272397995
"77" "dN.dS_ENSG00000062725" 0.256445189817751 0.203425490208934 0.0186276594079495 6.22744793806639e-07 42 0.130749074449846 0.109017801311093 0.144915445128492
"78" "dN.dS_ENSG00000124214" 0.212278213889653 0.214545975001812 0.0567835628959166 4.91476767445707e-07 41 0.089935843419205 0.0666008650453386 0.149456858880293
"79" "dN.dS_ENSG00000051180" 0.566173909597608 0.107001860878226 0.000111732190873084 0.0185699296932086 40 0.328238203709638 0.310560261701997 0.181714855612392
"80" "dN.dS_ENSG00000163399" 0.365756384050477 0.174908628451076 0.000777262612737532 4.77246121748359e-06 42 0.248612865073359 0.229828186700193 0.139594553389449
"81" "dN.dS_ENSG00000184226" 0.223370066793653 0.206316665480371 0.0763681696020035 9.28703311525947e-06 41 0.0783212936215274 0.0546885062784898 0.169917607989449
"82" "dN.dS_ENSG00000115380" 0.27673247482777 0.200198018719275 0.00936868216782746 5.31501495842881e-07 41 0.160800452320131 0.139282515200134 0.140188592403067
"83" "dN.dS_ENSG00000113161" 0.256202846388443 0.214068701338587 0.002210006607398 5.79916732659719e-10 39 0.226256052535445 0.205344053955322 0.106515680580672
"84" "dN.dS_ENSG00000121390" 0.125684475005586 0.238504698430614 0.264768046422351 1.12019856015263e-07 39 0.0334943998055271 0.00737262682729811 0.14632462461532
